"","iteration","prec","algo"
"1",1000,2779,"IEM"
"2",6000,23091,"IEM"
"3",11000,38843,"IEM"
"4",16000,55813,"IEM"
"5",21000,77535,"IEM"
"6",26000,91449,"IEM"
"7",31000,105227,"IEM"
"8",36000,117193,"IEM"
"9",41000,130755,"IEM"
"10",46000,150709,"IEM"
"11",51000,173500,"IEM"
"12",56000,193501,"IEM"
"13",61000,206662,"IEM"
"14",66000,217368,"IEM"
"15",71000,228615,"IEM"
"16",76000,247225,"IEM"
"17",81000,264670,"IEM"
"18",86000,287159,"IEM"
"19",91000,310323,"IEM"
"20",96000,334330,"IEM"
"21",101000,352944,"IEM"
"22",106000,370895,"IEM"
"23",1000,642,"FI-EM"
"24",6000,2506,"FI-EM"
"25",11000,3512,"FI-EM"
"26",16000,5305,"FI-EM"
"27",21000,6601,"FI-EM"
"28",26000,6353,"FI-EM"
"29",31000,8312,"FI-EM"
"30",36000,8288,"FI-EM"
"31",41000,7859,"FI-EM"
"32",46000,10260,"FI-EM"
"33",51000,11330,"FI-EM"
"34",56000,11401,"FI-EM"
"35",61000,11330,"FI-EM"
"36",66000,12646,"FI-EM"
"37",71000,12278,"FI-EM"
"38",76000,13639,"FI-EM"
"39",81000,14098,"FI-EM"
"40",86000,15445,"FI-EM"
"41",91000,16026,"FI-EM"
"42",96000,15237,"FI-EM"
"43",101000,18600,"FI-EM"
"44",106000,18040,"FI-EM"
"45",1000,705,"SVR-EM"
"46",6000,3261,"SVR-EM"
"47",11000,4018,"SVR-EM"
"48",16000,7258,"SVR-EM"
"49",21000,6512,"SVR-EM"
"50",26000,6680,"SVR-EM"
"51",31000,7930,"SVR-EM"
"52",36000,7856,"SVR-EM"
"53",41000,8576,"SVR-EM"
"54",46000,10035,"SVR-EM"
"55",51000,10803,"SVR-EM"
"56",56000,12031,"SVR-EM"
"57",61000,10910,"SVR-EM"
"58",66000,12133,"SVR-EM"
"59",71000,12634,"SVR-EM"
"60",76000,14956,"SVR-EM"
"61",81000,15050,"SVR-EM"
"62",86000,14471,"SVR-EM"
"63",91000,15760,"SVR-EM"
"64",96000,15865,"SVR-EM"
"65",101000,15664,"SVR-EM"
"66",106000,18868,"SVR-EM"
"67",1000,7000,"EM"
"68",6000,54000,"EM"
"69",11000,99000,"EM"
"70",16000,144000,"EM"
"71",21000,189000,"EM"
"72",26000,234000,"EM"
"73",31000,279000,"EM"
"74",36000,288000,"EM"
"75",41000,328000,"EM"
"76",46000,368000,"EM"
"77",51000,459000,"EM"
"78",56000,504000,"EM"
"79",61000,549000,"EM"
"80",66000,528000,"EM"
"81",71000,568000,"EM"
"82",76000,608000,"EM"
"83",81000,648000,"EM"
"84",86000,688000,"EM"
"85",91000,819000,"EM"
"86",96000,864000,"EM"
"87",101000,909000,"EM"
"88",106000,954000,"EM"
"89",1000,464.158883361278,"f(n) = n^(2/3)"
"90",6000,1532.61886478711,"f(n) = n^(2/3)"
"91",11000,2295.77042466555,"f(n) = n^(2/3)"
"92",16000,2947.22519891231,"f(n) = n^(2/3)"
"93",21000,3533.02081805394,"f(n) = n^(2/3)"
"94",26000,4073.63611249652,"f(n) = n^(2/3)"
"95",31000,4580.44629938303,"f(n) = n^(2/3)"
"96",36000,5060.59599181049,"f(n) = n^(2/3)"
"97",41000,5518.94294679071,"f(n) = n^(2/3)"
"98",46000,5958.97945080057,"f(n) = n^(2/3)"
"99",51000,6383.32246375784,"f(n) = n^(2/3)"
"100",56000,6793.99700896724,"f(n) = n^(2/3)"
"101",61000,7192.61073183983,"f(n) = n^(2/3)"
"102",66000,7580.46692240958,"f(n) = n^(2/3)"
"103",71000,7958.64071130491,"f(n) = n^(2/3)"
"104",76000,8328.03218400853,"f(n) = n^(2/3)"
"105",81000,8689.40446145066,"f(n) = n^(2/3)"
"106",86000,9043.41166553309,"f(n) = n^(2/3)"
"107",91000,9390.61988684691,"f(n) = n^(2/3)"
"108",96000,9731.52319291744,"f(n) = n^(2/3)"
"109",101000,10066.5560465211,"f(n) = n^(2/3)"
"110",106000,10396.103076478,"f(n) = n^(2/3)"
"111",1000,5000,"f(n) = n"
"112",6000,30000,"f(n) = n"
"113",11000,55000,"f(n) = n"
"114",16000,80000,"f(n) = n"
"115",21000,105000,"f(n) = n"
"116",26000,130000,"f(n) = n"
"117",31000,155000,"f(n) = n"
"118",36000,180000,"f(n) = n"
"119",41000,205000,"f(n) = n"
"120",46000,230000,"f(n) = n"
"121",51000,255000,"f(n) = n"
"122",56000,280000,"f(n) = n"
"123",61000,305000,"f(n) = n"
"124",66000,330000,"f(n) = n"
"125",71000,355000,"f(n) = n"
"126",76000,380000,"f(n) = n"
"127",81000,405000,"f(n) = n"
"128",86000,430000,"f(n) = n"
"129",91000,455000,"f(n) = n"
"130",96000,480000,"f(n) = n"
"131",101000,505000,"f(n) = n"
"132",106000,530000,"f(n) = n"
