"","x","saem.ep","mcem.ep","imcem.ep","imcem10.ep","imcem50.ep"
"1",2,49.6191002882017,102.70572394978,65.8257884574126,69.3608607319342,84.1322385129866
"2",3,55.7996733987601,97.7894768949331,83.7887517187081,83.22304735122,91.0035126746264
"3",4,59.5874796277689,93.2614049449761,87.4066088096482,84.7467566082032,88.9561774720368
"4",5,62.0669996118349,89.5008375301068,86.1596463485541,80.8736654642057,83.9794301799985
"5",6,63.7407066470223,85.305487323862,81.0722396131036,76.0406648512854,79.0027764504547
"6",7,64.9961252517907,81.1165973029054,76.3577205923424,72.8041754026717,75.0857759821513
"7",8,65.9018919502164,75.8421272899504,72.924834695846,70.8102954257137,71.8694293856602
"8",9,66.6512476372642,72.0851583961965,70.7842505059764,69.7477382308239,70.0820369240524
"9",10,67.1999084077023,69.995866552652,69.4898228591835,69.0170624165643,69.2901821234402
"10",11,67.6195804348991,69.2164969528136,68.9144855325034,68.7907019780858,69.0636504884566
